year,month,count
2016,1,7249
2016,2,6742
2016,3,7959
2016,4,7668
2016,5,8784
2016,6,8969
2016,7,8705
2016,8,8610
2016,9,7322
2016,10,8280
2016,11,7746
2016,12,5096
2017,1,4878
2017,2,6567
2017,3,6336
2017,4,5826
2017,5,6746
2017,6,7005
2017,7,7315
2017,8,6974
2017,9,7400
2017,10,7277
2017,11,7646
2017,12,1258
2018,1,5779
2018,2,5330
2018,3,7020
2018,4,6907
2018,5,5972
2018,6,5767
2018,7,6926
2018,8,6866
2018,9,4972
2018,10,6760
2018,11,6845
2018,12,4204
2019,1,6599
2019,2,5351
2019,3,7229
2019,4,7503
2019,5,7015
2019,6,6378
2019,7,6007
2019,8,6033
2019,9,5319
2019,10,6654
2019,11,6266
2019,12,4758
2020,1,5664
2020,2,6669
2020,3,5731
2020,4,3678
2020,5,3965
2020,6,4478
2020,7,4842
2020,8,4329
2020,9,4237
2020,10,4006
2020,11,4319
2020,12,4339
2021,1,3893
2021,2,4384
2021,3,5041
2021,4,4487
2021,5,4256
2021,6,3674
2021,7,3744
2021,8,5098
2021,9,3864
2021,10,4879
2021,11,5905
2021,12,4821
2022,1,5002
2022,2,4336
2022,3,4819
2022,4,4990
2022,5,5310
2022,6,4731
2022,7,5826
2022,8,3814
2022,9,4516
2022,10,5462
2022,11,5247
2022,12,3312
2023,1,4426
2023,2,5133
2023,3,5252
2023,4,4968
2023,5,4426
2023,6,4946
2023,7,4708
2023,8,3805
2023,9,3854
2023,10,3826
2023,11,3808
2023,12,5864
2024,1,3343
2024,2,2941
2024,3,3416
2024,4,3197
2024,5,3198
2024,6,3083
2024,7,3647
2024,8,3753
2024,9,3350
2024,10,3991
2024,11,4128
2024,12,3038

